SCSTRESC,POPULAT
13,131.59388
14,90.48331
27,88.65245
23,74.10719
11,71.94556
12,62.16289
28,55.88133
01,55.06419
40,50.71968
22,37.65007
08,29.69770
34,28.60750
26,26.36092
04,23.48165
15,23.74450
20,21.52449
21,20.80773
09,20.07683
10,20.08068
07,20.29064
33,19.45276
24,18.54724
43,18.17426
46,17.06242
47,13.92818
25,14.10777
35,14.51338
38,14.31493
42,14.26779
29,14.00728
02,13.73339
03,13.30147
44,11.96529
17,11.69788
06,11.68924
45,11.35233
16,10.93247
05,10.85997
37,9.95842
30,10.02198
19,8.63075
41,8.49788
18,8.06314
36,7.85491
39,7.64456
32,7.17397
31,5.88667
