施設CD,施設名
10111085,ＫＫＲ札幌医療センター　斗南病院
10111234,福田医院
10111457,北海道銀行医務室
10111887,地方職員共済組合北海道支部　北海道庁診療所
10112125,いのけ医院
10112489,医療法人　愛全病院
10112554,古畑整形外科医院
10112562,内科小児科田中医院
10112745,医療法人社団　慈藻会　平松記念病院
10112885,中川胃腸科クリニック
10112943,山口内科
10113321,田中医院
10113420,札幌中央病院
10113495,桜庭内科医院
10113537,医療法人　北仁会　旭山病院
10113685,医療法人社団北海道恵愛会　札幌南一条病院
10113701,本谷神経科クリニック
10113883,芦田整形外科
10113982,医療法人社団　正心会　岡本病院
10114121,札幌西円山病院
10114360,医療法人社団　明日佳　札幌江仁会病院
10114386,ＪＲ札幌病院
10114451,医療法人社団　山和会　朝日内科外科クリニック
10114501,医療法人社団　恵和会　宮の森病院
10114527,かどの内科　消化器科
10114634,社会医療法人　北海道循環器病院
10114683,医療法人　大空　札幌山鼻病院
10114691,三浦眼科医院
10114717,中橋内科クリニック
10114790,医療法人　医仁会　中村記念病院
10114832,医療法人　札幌円山整形外科病院
10114865,医療法人社団　いとう整形外科病院
10114956,医療法人社団　高橋皮膚科医院
10115003,医療法人社団　今井内科小児科医院
10115060,医療法人社団　岡本内科クリニック
10115110,医療法人社団　若浜医院
10115235,ほしい小児科・整形外科
10115268,医療法人社団　河本内科小児科
10115342,上埜耳鼻咽喉科
10115367,医療法人社団　古川内科医院
10115441,医療法人社団　心和会　心和病院
10115458,医療法人社団　清野内科診療所
10115466,医療法人社団　いがらし医院
10115615,医療法人社団　本来堂　藤田外科整形外科医院
10115672,医療法人社団　大通こどもクリニック
10115706,アスティ相沢眼科
10115755,旭山外科整形外科クリニック
10115805,医療法人社団　南１１条眼科
10115813,医療法人　萬田記念病院
10115839,三浦俊祐・貴子皮膚科
10115896,医療法人社団　掛川神経科クリニック
10115995,橋本耳鼻咽喉医院
10116019,札幌市児童福祉総合センター診療所
10116027,医療法人社団　旭山内科クリニック
10116035,上條内科クリニック
10116084,医療法人社団　やんべ皮膚科クリニック
10116092,金森内科
10116118,医療法人社団北辰　クリニック１・９・８札幌
10116191,医療法人社団　ちかま胃腸科・内科クリニック
10116209,エルム内科循環器クリニック
10116225,医療法人社団　蘇春堂形成外科
10116233,医療法人社団　水島胃腸科クリニック
10116241,富澤内科クリニック
10116308,医療法人社団　林レディースクリニック
10116324,医療法人社団　延寿会　角田内科クリニック
10116332,医療法人社団　斎藤医院
10116340,医療法人社団　はせ小児科クリニック
10116399,医療法人社団　にひら小児科医院
10116407,医療法人社団　健心会　桑園病院
10116415,医療法人社団　中野整形外科医院
10116449,医療法人　耳鼻咽喉科　麻生２８
10116456,財団法人パブリックヘルスリサーチセンター　北海道支部札幌商工診療所
10116472,時計台内科クリニック
10116514,医療法人　讃生会　宮の森記念病院
10116522,医療法人社団　札幌外科記念病院
10116563,医療法人社団　きむら小児科医院
10116589,医療法人　桑園中央病院
10116597,南１条メンタルクリニック
10116621,医療法人社団　くきた整形外科クリニック
10116639,医療法人社団　いの眼科
10116647,みよしメンタルクリニック
10116662,医療法人社団　杏友会　リバーサイド内科循環器科クリニック
10116704,南７条クリニック
10116712,医療法人社団　高木医院
10116738,宮の森スキンケア診療室
10116753,ターミナル整形外科
10116795,札幌乳腺外科クリニック
10116811,医療法人社団　小六メディカルクリニック
10116845,医療法人社団　廣仁会　札幌皮膚科クリニック
10116852,旭山皮フ科
10116878,熊谷耳鼻咽喉科クリニック
10116886,おく医院
10116977,かねし小児科
10116985,宮の森三条内科クリニック
10116993,医療法人　エンゼル　エンゼルクリニック
10117009,医療法人社団産婦人科　吉尾医院
10117033,札幌マタニティ・ウィメンズ南一条クリニック
10117058,医療法人社団　東邦内科クリニック
10117082,やまはな眼科
10117132,松家内科小児科医院
10117140,ほそかわ内科
10117157,医療法人社団　結仁会　浜田内科消化器科クリニック
10117207,医療法人社団　土田病院
10117314,みたに胃腸科内科
10117355,胃腸科・内科吉田裕司クリニック
10117363,あけぼの皮フ科
10117389,医療法人社団　やましな内科クリニック
10117397,医療法人社団　清水クリニック
10117454,円山リラ　クリニック
10117462,南円山内科医院
10117470,くぼメンタルクリニック
10117488,医大前　中川眼科
10117496,医療法人社団　恵水会　田島クリニック
10117512,医療法人社団　大通メディカルクリニック
10117520,医療法人社団　佐々木内科クリニック
10117538,医療法人社団　宮﨑整形外科医院
10117561,西線医院
10117587,中央メディカルクリニック
10117603,さいとう皮膚科クリニック
10117652,医療法人社団　緑生会　緑の森皮膚科クリニック
10117660,医療法人社団　デイケアクリニックほっとステーション
10117702,医療法人社団　清和会　南札幌病院
10117728,円山ため小児科
10117736,札幌一条クリニック
10117744,札幌耳鼻咽喉科アレルギークリニック
10117769,医療法人　札幌会　岩澤クリニック
10117785,医療法人　創成東病院
10117827,ＪＡ北海道厚生連　札幌厚生病院　共済クリニック
10117843,医療法人社団　宮の森皮膚科
10117850,勤医協　札幌クリニック
10117868,大通眼科
10117884,医療法人社団慈昂会　昂希内科クリニック
10117892,大通りつげのクリニック
10117918,脳神経外科・心療内科　北見クリニック
10117934,医療法人社団　草薙レディースクリニック
10117959,医療法人社団　銀杏会　川西内科胃腸科病院
10117975,医療法人　山美会　札幌山鼻整形外科
10117991,旭ヶ丘こどもクリニック
10118015,村形耳鼻咽喉科
10118056,医療法人社団　小泉皮膚科クリニック
10118064,医療法人社団　小泉呼吸器科・内科クリニック
10118098,メディカルプラザ札幌健診クリニック
10118106,札幌マタニティ・ウィメンズＪＲタワークリニック
10118114,藤田外科・整形外科
10118122,のだレディースクリニック
10118148,医療法人社団愛心館　愛心循環器クリニック
10118155,医療法人社団　北海道健診センタークリニック
10118296,札幌アイ・クリニック
10118320,医療法人財団　老蘇会　静明館診療所
10118338,医療法人社団　伏見啓明整形外科
10118353,医療法人社団　札幌中央形成外科
10118361,札幌中央ファミリークリニック
10118387,いしかわ心療・神経クリニック
10118395,田代内科呼吸器科クリニック
10118445,医療法人　石山通内科クリニック
10118460,札幌南三条病院
10118494,高岡レディースケアクリニック
10118510,札幌中央メンタルクリニック
10118551,札幌市医師会夜間急病センター
10118585,医療法人藻友会　札幌いしやまクリニック
10118593,医療法人　藻友会　札幌いしやま病院
10118635,社会医療法人　禎心会　セントラルＣＩクリニック
10118643,札幌循環器病院
10118650,あびこ眼科クリニック
10118676,土田内科・循環器科クリニック
10118700,医療法人社団　啓明眼科
10118718,医療法人社団　大通り心療内科クリニック
10118726,医療法人社団愛心館　愛心内科・消化器科クリニック
10118734,医療法人社団　上出脳神経外科クリニック
10118742,たかはし耳鼻科クリニック
10118775,医療法人糖生会　大通り内科クリニック
10118783,医療法人社団　小野百合内科クリニック
10118791,医療法人社団　本田眼科
10118809,大通り西１１丁目こころのクリニック
10118817,竹村クリニック
10118833,玄気堂　桑園内科クリニック
10118858,クリニック・イン・ザ・モーニング
10118866,医療法人社団　勝生会　ハートクリニックよこい
10118874,医療法人社団　みやざき外科クリニック
10118916,仁和堂内科クリニック
10118940,時計台記念病院
10118965,医療法人社団　伏見内科
10118973,医療法人社団　龍櫻会　札幌駅前さくら形成外科
10119013,医療法人社団　新井田医院
10119039,村木静脈瘤外科
10119047,市立札幌病院前　ひゃくまち眼科
10119062,医療法人社団　吉田眼科
10119070,渓仁会円山クリニック
10119088,やまはな皮フ科クリニック
10119104,医療法人　日之出内科クリニック
10119112,医療法人社団　平林メンタルクリニック
10119146,医療法人社団　円山公園内科
10119153,社会医療法人　禎心会　セントラル女性クリニック
10119179,響きの杜クリニック
10119211,医療法人社団清成会　道庁前眼科
10119237,医療法人社団大空会　大道内科・呼吸器科クリニック
10119245,医療法人社団　さっぽろ幌西クリニック
10119286,医療法人社団　第一内科神経科
10119328,医療法人　札幌美容形成外科
10119336,医療法人孝佑会　大通じんぼ皮膚科
10119401,医療法人社団　佐川　昭　リウマチクリニック
10119419,西三丁目眼科
10119443,医療法人社団心劇会　さっぽろ駅前クリニック　北海道リワークプラザ
10119450,医療法人　かねこ眼科クリニック
10119468,こなり整形外科・内科クリニック
10119484,医療法人社団　うめつ小児科
10119500,オアシスレディースクリニック
10119534,椿診療所
10119542,富田内科循環器科クリニック
10119559,医療法人社団千風会　ちあき内科・呼吸器科クリニック
10119567,医療法人社団　竹田眼科
10119583,医療法人社団　石史山会　札幌スポーツクリニック
10119609,さくら眼科医院
10119633,ごう在宅クリニック
10119708,医療法人社団北辰　札幌セントラルクリニック
10119716,医療法人社団　あさひ会　赤れんが皮フ科クリニック
10119724,山崎耳鼻咽喉科クリニック
10119732,佐野内科医院
10119765,くらかみ整形外科クリニック
10119773,宮の森メンタルクリニック
10119799,さくらメンタルクリニック
10119815,医療法人社団　こうの内科
10119823,医療法人社団　円山鈴木眼科
10119831,医療法人社団　天祐会　円山公園皮膚科形成外科
10119864,むらしたこどもクリニック
10119872,円山公園メンタルクリニック
10119922,札幌円山腎・泌尿器科クリニック
10119955,優メンタルクリニック
10119989,医療法人　ｈｏｋｕｌｅ’ａ　ｆクリニックまるやま
10120003,やまはな野村内科クリニック
10210028,医療法人　中江病院
10210374,三宅医院
10210440,美香保医院
10210515,西医院
10210630,内科小児科関屋医院
10210754,入江外科医院
10210846,かとう内科小児科
10211059,本庄医院
10211562,医療法人　啓生会病院
10211679,松木内科皮膚科医院
10211869,ふくい医院
10211968,内科小児科さとう医院
10212057,これなが夜間診療所
