id	category	disease	detail
1	腫瘍性疾患　詳細	CML病期：詳細	CP
1	腫瘍性疾患　詳細	CML病期：詳細	AP
1	腫瘍性疾患　詳細	CML病期：詳細	2nd CP
1	腫瘍性疾患　詳細	CML病期：詳細	BC(myeloid)
1	腫瘍性疾患　詳細	CML病期：詳細	BC(lymphoid)
1	腫瘍性疾患　詳細	CML病期：詳細	BC(mix)
1	腫瘍性疾患　詳細	CML病期：詳細	BC(extramedullary)
1	腫瘍性疾患　詳細	CML病期：詳細	BC（unclassified）
1	腫瘍性疾患　詳細	CML病期：詳細	未入力または未取得
2	腫瘍性疾患　詳細	MDS染色体：詳細	正常
2	腫瘍性疾患　詳細	MDS染色体：詳細	5q-
2	腫瘍性疾患　詳細	MDS染色体：詳細	-5
2	腫瘍性疾患　詳細	MDS染色体：詳細	8
2	腫瘍性疾患　詳細	MDS染色体：詳細	del(20q)
2	腫瘍性疾患　詳細	MDS染色体：詳細	del(5q)
2	腫瘍性疾患　詳細	MDS染色体：詳細	-Y
2	腫瘍性疾患　詳細	MDS染色体：詳細	3つ以上の複雑異常
2	腫瘍性疾患　詳細	MDS染色体：詳細	その他の異常
2	腫瘍性疾患　詳細	MDS染色体：詳細	-7/7q-
2	腫瘍性疾患　詳細	MDS染色体：詳細	不明
2	腫瘍性疾患　詳細	MDS染色体：詳細	未入力または未取得
3	腫瘍性疾患　詳細	急性前骨髄球性白血病：詳細	AML with t(15;17)(q22;q12)
3	腫瘍性疾患　詳細	急性前骨髄球性白血病：詳細	APL with variant RARA translocation
3	腫瘍性疾患　詳細	急性前骨髄球性白血病：詳細	t(15;17)(q22;q12)/PML-RARA
3	腫瘍性疾患　詳細	急性前骨髄球性白血病：詳細	-7/7q-
3	腫瘍性疾患　詳細	急性前骨髄球性白血病：詳細	正常
3	腫瘍性疾患　詳細	急性前骨髄球性白血病：詳細	その他の異常
3	腫瘍性疾患　詳細	急性前骨髄球性白血病：詳細	未入力または未取得
4	腫瘍性疾患　詳細	骨髄異形成関連変化随伴急性骨髄性白血病：詳細	AML with multilineage dysplasia :AML/MLD
